time,step,vehicle_count,av_count,gasoline_count,total_stops,total_co2,gasoline_co2,av_co2
149.0,149,0,0,6,15,7022.772060076588,7022.772060076588,0.0
150.0,150,0,0,5,15,7030.427786517805,7030.427786517805,0.0
151.0,151,0,0,5,15,7045.424419984065,7045.424419984065,0.0
152.0,152,0,0,5,15,7050.253825644258,7050.253825644258,0.0
153.0,153,0,0,5,15,7065.272857587555,7065.272857587555,0.0
154.0,154,0,0,5,15,7076.240106310847,7076.240106310847,0.0
155.0,155,0,0,5,15,7090.11583017921,7090.11583017921,0.0
156.0,156,0,0,4,15,7103.587547617036,7103.587547617036,0.0
157.0,157,0,0,4,15,7109.459929408807,7109.459929408807,0.0
158.0,158,0,0,4,15,7114.388076627334,7114.388076627334,0.0
159.0,159,0,0,4,15,7125.734297631141,7125.734297631141,0.0
160.0,160,0,0,4,15,7133.179062282096,7133.179062282096,0.0
161.0,161,0,0,4,15,7149.034243855334,7149.034243855334,0.0
162.0,162,0,0,3,15,7164.416957628245,7164.416957628245,0.0
163.0,163,0,0,3,15,7170.910669388917,7170.910669388917,0.0
164.0,164,0,0,3,15,7183.094607621944,7183.094607621944,0.0
165.0,165,0,0,3,15,7195.513507325542,7195.513507325542,0.0
166.0,166,0,0,3,15,7198.871212650564,7198.871212650564,0.0
167.0,167,0,0,3,15,7210.174952796246,7210.174952796246,0.0
168.0,168,0,0,3,15,7217.072247323697,7217.072247323697,0.0
169.0,169,0,0,3,15,7222.0397348540055,7222.0397348540055,0.0
170.0,170,0,0,3,15,7230.149760802761,7230.149760802761,0.0
171.0,171,0,0,3,15,7239.936184409019,7239.936184409019,0.0
172.0,172,0,0,3,15,7243.840160157773,7243.840160157773,0.0
173.0,173,0,0,3,15,7246.7362767471495,7246.7362767471495,0.0
174.0,174,0,0,3,15,7253.667648414909,7253.667648414909,0.0
175.0,175,0,0,3,15,7264.548781128411,7264.548781128411,0.0
176.0,176,0,0,3,15,7269.183901328434,7269.183901328434,0.0
177.0,177,0,0,3,15,7278.320391650212,7278.320391650212,0.0
178.0,178,0,0,3,15,7278.320391650212,7278.320391650212,0.0
179.0,179,0,0,3,15,7279.9166012137475,7279.9166012137475,0.0
180.0,180,0,0,3,15,7282.431747860774,7282.431747860774,0.0
181.0,181,0,0,3,15,7287.046552372366,7287.046552372366,0.0
182.0,182,0,0,3,15,7299.02956364034,7299.02956364034,0.0
183.0,183,0,0,3,15,7307.979606111277,7307.979606111277,0.0
184.0,184,0,0,3,15,7321.8465643191,7321.8465643191,0.0
185.0,185,0,0,3,15,7329.131966686798,7329.131966686798,0.0
186.0,186,0,0,3,15,7343.671867541832,7343.671867541832,0.0
187.0,187,0,0,3,15,7354.500807718186,7354.500807718186,0.0
188.0,188,0,0,3,15,7366.351568688354,7366.351568688354,0.0
189.0,189,0,0,3,15,7382.915970840317,7382.915970840317,0.0
190.0,190,0,0,3,15,7400.6467659410455,7400.6467659410455,0.0
