time,vehicle_id,edge_id,duration,total_count
821.0,dyn_2272,-8,1.0,229
825.0,dyn_2249,6,1.0,230
837.0,dyn_2243,-8,1.0,231
838.0,dyn_2245,-8,1.0,232
840.0,dyn_2240,4,1.0,233
842.0,dyn_2256,4,1.0,234
847.0,dyn_2262,-8,1.0,235
851.0,dyn_2247,4,1.0,236
858.0,dyn_2273,4,1.0,237
863.0,dyn_2234,7,1.0,238
864.0,dyn_2271,-8,1.0,239
866.0,dyn_2243,-8,1.0,240
867.0,dyn_2245,-8,1.0,241
868.0,dyn_2262,-8,1.0,242
869.0,dyn_2271,-8,1.0,243
883.0,dyn_2249,5,1.0,244
893.0,dyn_2251,-7,1.0,245
922.0,dyn_2249,4,1.0,246
923.0,dyn_2305,6,1.0,247
926.0,dyn_2291,-8,1.0,248
929.0,dyn_2274,4,1.0,249
930.0,dyn_2284,4,1.0,250
941.0,dyn_2286,-8,1.0,251
943.0,dyn_2295,4,1.0,252
944.0,dyn_2302,-8,1.0,253
946.0,dyn_2296,4,1.0,254
946.0,dyn_2234,6,1.0,255
947.0,dyn_2303,-8,1.0,256
948.0,dyn_2276,4,1.0,257
949.0,dyn_2308,-8,1.0,258
950.0,dyn_2282,4,1.0,259
952.0,dyn_2287,4,1.0,260
953.0,dyn_2289,4,1.0,261
954.0,dyn_2304,5,1.0,262
954.0,dyn_2307,4,1.0,263
970.0,dyn_2289,4,1.0,264
972.0,dyn_2307,4,1.0,265
975.0,dyn_2305,5,1.0,266
979.0,dyn_2234,5,1.0,267
985.0,dyn_2321,-9,1.0,268
991.0,dyn_2326,-9,1.0,269
1013.0,dyn_2304,4,1.0,270
1016.0,dyn_2321,-8,1.0,271
1017.0,dyn_2305,4,1.0,272
1017.0,dyn_2326,-8,1.0,273
1019.0,dyn_2234,4,1.0,274
1020.0,dyn_2316,4,1.0,275
1031.0,dyn_2314,-8,1.0,276
1067.0,dyn_2331,-7,1.0,277
1067.0,dyn_2234,3,1.0,278
1109.0,dyn_2185,4,1.0,279
1112.0,dyn_2220,4,1.0,280
