time,gasoline_co2,av_co2,total_gasoline,total_av,gasoline_vehicles,av_vehicles,total_distance
93.0,100.57046741133227,0.0,9944.091017076404,0.0,33,4,244.10778862416265
94.0,105.43134857051515,0.0,10049.522365646919,0.0,33,4,258.40647833562764
95.0,115.76591000107655,0.0,10165.288275647996,0.0,33,4,277.53019826816615
96.0,104.29191887213165,0.0,10269.580194520127,0.0,33,4,294.000011693545
97.0,130.37917836088346,0.0,10399.95937288101,0.0,33,4,309.1725259190819
98.0,134.54378232933973,0.0,10534.50315521035,0.0,33,4,328.8529228285669
99.0,138.70500315088864,0.0,10673.208158361238,0.0,33,4,347.3651262689428
100.0,112.33544721292081,0.0,10785.54360557416,0.0,33,4,361.82157022579963
101.0,132.44753447502194,0.0,10917.991140049182,0.0,33,4,371.78870533257805
102.0,173.26404625988175,0.0,11091.255186309063,0.0,33,4,417.38938567662626
103.0,146.7234263755666,0.0,11237.97861268463,0.0,32,4,413.3393200710509
104.0,145.65119732213176,0.0,11383.629810006762,0.0,32,3,404.9636336802658
105.0,146.6623481552087,0.0,11530.29215816197,0.0,32,3,406.90046504462174
106.0,137.16923930905972,0.0,11667.46139747103,0.0,32,3,410.4415705151705
107.0,117.71451986030392,0.0,11785.175917331335,0.0,32,3,414.5268371832296
108.0,123.60372807246685,0.0,11908.779645403802,0.0,32,3,414.65398385784397
109.0,108.20646067823529,0.0,12016.986106082037,0.0,32,3,406.2635301540697
110.0,108.39723142415889,0.0,12125.383337506195,0.0,32,2,377.5914144815415
111.0,156.7609075920996,0.0,12282.144245098294,0.0,32,2,393.0667158816468
112.0,160.1466870762847,0.0,12442.29093217458,0.0,32,2,411.9467239860312
113.0,189.70404341326335,0.0,12631.994975587842,0.0,32,2,435.7391128629501
114.0,161.7524775150635,0.0,12793.747453102906,0.0,32,2,446.2682497173132
115.0,142.90225791222133,0.0,12936.649711015127,0.0,32,2,454.8725010828266
116.0,123.13378790004533,0.0,13059.783498915172,0.0,32,2,458.0752401135611
117.0,152.1779738988544,0.0,13211.961472814028,0.0,32,2,464.25189046396923
118.0,150.17997865726664,0.0,13362.141451471294,0.0,31,2,461.8364030790072
119.0,126.41310777906406,0.0,13488.554559250359,0.0,31,2,470.92595415977905
120.0,104.63022591184125,0.0,13593.1847851622,0.0,31,2,465.1496733281845
121.0,97.038081604425,0.0,13690.222866766626,0.0,31,2,454.12378166953175
122.0,117.06238397968936,0.0,13807.285250746316,0.0,31,2,439.66111314609253
123.0,119.5014211341964,0.0,13926.786671880513,0.0,31,2,425.12479600894846
124.0,99.6577459227757,0.0,14026.444417803288,0.0,31,2,411.13624568242307
125.0,116.86255885549537,0.0,14143.306976658783,0.0,31,2,397.09608091684703
126.0,137.65673212526707,0.0,14280.963708784051,0.0,31,2,389.0673255218596
127.0,138.6850881046176,0.0,14419.648796888669,0.0,31,2,394.99714590154286
128.0,184.26902066252583,0.0,14603.917817551195,0.0,31,2,420.1710198928879
129.0,135.8284406918575,0.0,14739.746258243053,0.0,29,2,401.2597073071946
130.0,84.37409385671333,0.0,14824.120352099766,0.0,29,2,383.9285155099139
131.0,110.30334939443858,0.0,14934.423701494205,0.0,29,2,369.03094026566174
132.0,86.76778723380924,0.0,15021.191488728015,0.0,28,2,332.9173348629452
133.0,119.53071847573285,0.0,15140.722207203748,0.0,28,2,336.9627766987516
134.0,67.76006786903983,0.0,15208.482275072787,0.0,26,2,298.85335506895245
135.0,90.70526796945401,0.0,15299.18754304224,0.0,26,2,300.9417366974379
136.0,102.53046100423825,0.0,15401.71800404648,0.0,25,2,296.51311989300575
137.0,121.8583930957293,0.0,15523.57639714221,0.0,24,2,307.2325104997379
138.0,103.75455885874094,0.0,15627.330956000951,0.0,24,2,324.9105061030257
139.0,99.12474352584631,0.0,15726.455699526798,0.0,23,2,324.56819983922986
140.0,96.93329190215661,0.0,15823.388991428954,0.0,23,2,324.8231065331214
141.0,69.67423349046233,0.0,15893.063224919417,0.0,23,2,313.73229261916356
142.0,76.16966626877252,0.0,15969.232891188189,0.0,23,2,307.51684813649547
143.0,57.336566240710525,0.0,16026.5694574289,0.0,23,2,283.41213763087865
144.0,72.05010017378412,0.0,16098.619557602684,0.0,23,2,277.2151906000739
145.0,77.14491882181778,0.0,16175.764476424501,0.0,23,2,269.6301522173573
146.0,109.97282842183036,0.0,16285.737304846332,0.0,23,2,276.70237590506764
147.0,119.39921543746728,0.0,16405.1365202838,0.0,23,2,291.419953544421
148.0,127.54934322202918,0.0,16532.685863505827,0.0,21,2,281.88668372642417
149.0,105.8424327062457,0.0,16638.528296212073,0.0,21,1,280.68716356221097
150.0,84.63461041019971,0.0,16723.162906622274,0.0,19,1,246.55788967864285
151.0,80.93539779652201,0.0,16804.098304418796,0.0,18,1,230.7212898460005
152.0,84.15794678316858,0.0,16888.256251201965,0.0,18,1,238.49498846481438
153.0,93.12184005376452,0.0,16981.37809125573,0.0,17,1,226.34217459527767
154.0,61.1791865071139,0.0,17042.557277762844,0.0,16,1,215.88413647732818
155.0,43.35426904549644,0.0,17085.91154680834,0.0,15,1,194.41337329752676
156.0,48.080038612002255,0.0,17133.991585420343,0.0,14,1,180.6579882208253
157.0,38.29669619107072,0.0,17172.288281611414,0.0,14,1,174.3945727433009
158.0,25.248616166973815,0.0,17197.536897778387,0.0,14,1,161.52738324377947
159.0,33.54815064116872,0.0,17231.085048419554,0.0,14,1,156.39737870922502
160.0,19.93877579664294,0.0,17251.023824216198,0.0,12,1,115.42938935007334
161.0,33.31521855106801,0.0,17284.339042767264,0.0,12,1,109.896250910081
162.0,42.07407050238661,0.0,17326.41311326965,0.0,12,1,112.32096056522289
163.0,33.17296135358033,0.0,17359.58607462323,0.0,12,1,109.13752589862729
164.0,51.85443388807212,0.0,17411.4405085113,0.0,12,1,113.8469540570118
165.0,44.992832015299825,0.0,17456.4333405266,0.0,12,1,121.54952145689897
166.0,26.34437226880936,0.0,17482.77771279541,0.0,12,1,118.43563149703745
167.0,31.597638695145918,0.0,17514.375351490555,0.0,12,1,116.48352982755362
168.0,33.336203477175,0.0,17547.71155496773,0.0,12,1,117.60183250518988
169.0,32.11580344394342,0.0,17579.827358411672,0.0,11,1,105.04236911325039
170.0,22.257226873765006,0.0,17602.084585285436,0.0,10,1,95.4512863530175
171.0,18.933375885100237,0.0,17621.017961170535,0.0,10,0,83.32934437678252
172.0,24.52534182003299,0.0,17645.54330299057,0.0,10,0,83.09470148915003
173.0,24.094980726021497,0.0,17669.63828371659,0.0,10,0,80.20197913099123
174.0,36.611897559985636,0.0,17706.250181276577,0.0,10,0,84.85794432415086
175.0,20.376763358725857,0.0,17726.626944635304,0.0,10,0,79.59671232146601
176.0,29.36229378393308,0.0,17755.989238419235,0.0,10,0,82.91648761565257
177.0,38.75599090467398,0.0,17794.745229323908,0.0,10,0,88.24522956365644
178.0,26.748700151930805,0.0,17821.493929475837,0.0,10,0,88.74034114063272
179.0,20.74197659920898,0.0,17842.235906075046,0.0,10,0,85.57256285530434
180.0,17.980649015712594,0.0,17860.21655509076,0.0,9,0,66.39707794849296
181.0,19.177807077846644,0.0,17879.394362168605,0.0,9,0,64.6025968961508
182.0,23.185515869460232,0.0,17902.579878038065,0.0,9,0,67.21301102902675
183.0,40.55979379764468,0.0,17943.13967183571,0.0,9,0,78.23569068022938
184.0,45.767357744014696,0.0,17988.907029579725,0.0,9,0,90.42082405541433
185.0,37.41968982142598,0.0,18026.32671940115,0.0,9,0,98.06715619376003
186.0,39.06757083869308,0.0,18065.39429023984,0.0,9,0,104.5964233073761
187.0,37.5633731324776,0.0,18102.95766337232,0.0,9,0,106.26399849970892
188.0,39.20390449654624,0.0,18142.161567868865,0.0,9,0,108.7388684777668
189.0,40.412613445772,0.0,18182.574181314638,0.0,9,0,113.4899346707048
190.0,36.58811457040718,0.0,18219.162295885046,0.0,9,0,113.97127016830416
191.0,36.722569256551765,0.0,18255.884865141597,0.0,9,0,113.36430818477274
192.0,26.473035954380443,0.0,18282.357901095977,0.0,9,0,111.27820419409873
193.0,41.38115440318208,0.0,18323.739055499158,0.0,9,0,113.97648474159686
194.0,25.792605434375247,0.0,18349.531660933535,0.0,9,0,115.8980223201219
195.0,27.479543797783364,0.0,18377.01120473132,0.0,9,0,112.10758316741772
196.0,17.903643033805267,0.0,18394.914847765125,0.0,9,0,102.43531360446806
197.0,16.33788209615377,0.0,18411.25272986128,0.0,8,0,86.43109258048416
198.0,19.968059913566023,0.0,18431.220789774845,0.0,8,0,80.48654603948505
